depth_m,area_m2
0.005,0.0
0.015,0.0
0.025,0.0
0.035,710100.0
0.045,5274000.0
0.055,14489100.0
0.065,29350800.0
0.07500000000000001,51094800.0
0.08499999999999999,81244800.0
0.095,119614500.0
0.10500000000000001,165753000.0
0.11499999999999999,219157200.0
0.125,278802900.0
0.135,343952100.0
0.14500000000000002,412731000.0
0.155,485762400.0
0.165,562720500.0
0.175,641728800.0
0.185,722885400.0
0.195,805356900.0
0.20500000000000002,888760800.0
0.215,973134000.0
0.225,1058620500.0
0.235,1144001700.0
0.245,1229826600.0
0.255,1315412100.0
0.265,1401073200.0
0.275,1485866700.0
0.28500000000000003,1570483800.0
0.295,1654673400.0
0.305,1737905400.0
0.315,1820648700.0
0.325,1902616200.0
0.335,1983816900.0
0.34500000000000003,2064412800.0
0.355,2144211300.0
0.365,2223108900.0
0.375,2301606900.0
0.385,2378977200.0
0.395,2455590600.0
0.405,2531313000.0
0.41500000000000004,2606751900.0
0.425,2680848000.0
0.435,2754745200.0
0.445,2827899900.0
0.455,2900584800.0
0.465,2972479500.0
0.475,3043557900.0
0.485,3113763300.0
0.495,3183825600.0
0.505,3253327200.0
0.515,3322427400.0
0.525,3390989400.0
0.535,3458997900.0
0.545,3526588800.0
0.555,3593586600.0
0.5650000000000001,3660200100.0
0.575,3726181800.0
0.585,3791658600.0
0.595,3856533300.0
0.605,3921249600.0
0.615,3985521300.0
0.625,4049577000.0
0.635,4113048600.0
0.645,4176534600.0
0.655,4239976500.0
0.665,4303063800.0
0.675,4365969300.0
0.685,4428265500.0
0.6950000000000001,4490648100.0
0.7050000000000001,4552521300.0
0.715,4614479100.0
0.725,4675699800.0
0.735,4737371400.0
0.745,4798355400.0
0.755,4859345700.0
0.765,4920270300.0
0.775,4980761100.0
0.785,5041022400.0
0.795,5100834600.0
0.805,5160517200.0
0.8150000000000001,5220100800.0
0.8250000000000001,5279174100.0
0.835,5338363500.0
0.845,5397350400.0
0.855,5456243700.0
0.865,5514923700.0
0.875,5573592900.0
0.885,5632061400.0
0.895,5690774700.0
0.905,5748943500.0
0.915,5807322900.0
0.925,5865563700.0
0.935,5923236600.0
0.9450000000000001,5981134500.0
0.9550000000000001,6038983800.0
0.965,6096817800.0
0.975,6154587000.0
