depth_m,area_m2
0,495973.5731
0.01,495973.5731
0.02,743960.3596
0.03,743960.3596
0.04,743960.3596
0.05,743960.3596
0.06,743960.3596
0.07,743960.3596
0.08,743960.3596
0.09,743960.3596
0.1,743960.3596
0.11,743960.3596
0.12,743960.3596
0.13,743960.3596
0.14,743960.3596
0.15,743960.3596
0.16,743960.3596
0.17,743960.3596
0.18,743960.3596
0.19,743960.3596
0.2,743960.3596
0.21,743960.3596
0.22,743960.3596
0.23,743960.3596
0.24,743960.3596
0.25,743960.3596
0.26,991947.1461
0.27,991947.1461
0.28,991947.1461
0.29,991947.1461
0.3,991947.1461
0.31,1239933.933
0.32,1487920.719
0.33,1735907.506
0.34,1735907.506
0.35,1735907.506
0.36,1983894.292
0.37,2231881.079
0.38,2231881.079
0.39,2231881.079
0.4,2231881.079
0.41,2479867.865
0.42,2727854.652
0.43,2727854.652
0.44,2727854.652
0.45,2727854.652
0.46,2727854.652
0.47,2727854.652
0.48,2727854.652
0.49,2727854.652
0.5,2727854.652
0.51,2727854.652
0.52,2727854.652
0.53,2727854.652
0.54,2727854.652
0.55,2975841.438
0.56,3223828.225
0.57,3471815.011
0.58,3471815.011
0.59,3471815.011
0.6,3471815.011
0.61,3471815.011
0.62,3471815.011
0.63,3471815.011
0.64,3471815.011
0.65,3471815.011
0.66,3719801.798
0.67,3719801.798
0.68,3719801.798
0.69,3719801.798
0.7,3719801.798
0.71,3967788.584
0.72,4215775.371
0.73,4215775.371
0.74,4215775.371
0.75,4215775.371
0.76,4215775.371
0.77,4711748.944
0.78,4711748.944
0.79,4711748.944
0.8,4711748.944
0.81,4711748.944
0.82,5207722.517
0.83,5455709.304
0.84,5455709.304
0.85,5455709.304
0.86,5703696.09
0.87,6199669.663
0.88,6199669.663
0.89,6199669.663
0.9,6199669.663
0.91,6447656.45
0.92,6447656.45
0.93,6447656.45
0.94,6447656.45
0.95,6447656.45
0.96,6695643.236
0.97,6695643.236
0.98,6695643.236
0.99,6943630.023
1,7191616.809
1.01,7439603.596
1.02,7687590.382
1.03,7935577.169
1.04,7935577.169
1.05,7935577.169
1.06,7935577.169
1.07,7935577.169
1.08,8183563.955
1.09,8183563.955
1.1,8431550.742
1.11,8431550.742
1.12,8431550.742
1.13,8679537.528
1.14,8927524.315
1.15,8927524.315
1.16,8927524.315
1.17,9175511.102
1.18,9671484.675
1.19,9671484.675
1.2,9919471.461
1.21,10167458.25
1.22,10167458.25
1.23,10167458.25
1.24,10167458.25
1.25,10415445.03
1.26,10415445.03
1.27,10415445.03
1.28,10415445.03
1.29,10415445.03
1.3,10663431.82
1.31,11407392.18
1.32,11407392.18
1.33,11655378.97
1.34,11655378.97
1.35,11655378.97
1.36,11903365.75
1.37,12151352.54
1.38,12151352.54
1.39,12151352.54
1.4,12151352.54
1.41,12399339.33
1.42,12399339.33
1.43,12647326.11
1.44,12647326.11
1.45,12895312.9
1.46,13143299.69
1.47,13391286.47
1.48,13391286.47
1.49,13887260.05
1.5,14135246.83
1.51,14135246.83
1.52,14135246.83
1.53,14135246.83
1.54,14631220.41
1.55,14631220.41
1.56,14631220.41
1.57,14879207.19
1.58,15127193.98
1.59,15375180.76
1.6,15871154.34
1.61,16119141.12
1.62,16367127.91
1.63,16615114.7
1.64,17111088.27
