Date,Area_km2
2000-01-01,66451.101
2000-02-03,66444.892
2000-03-03,66441.021
2000-04-05,66449.148
2000-05-19,66456.959
2000-07-06,66445.892
2000-08-04,66451.611
2000-09-06,66458.729
2000-10-01,66454.315
2000-11-03,66455.772
2000-12-06,66454.875
2000-12-28,66449.27
2001-02-03,66450.693
2001-03-04,66452.521
2001-04-02,66466.129
2001-05-05,66459.743
2001-05-31,66453.287
2001-07-02,66452.633
2001-08-04,66447.554
2001-09-03,66466.985
2001-10-02,66448.499
2001-10-27,66452.073
2001-12-03,66450.817
2001-12-28,66449.831
2002-01-30,66454.651
2002-03-04,66453.794
2002-04-02,66452.521
2002-05-01,66469.978
2002-05-27,66477.519
2002-06-29,66475.277
2002-08-04,66469.007
2002-09-03,66478.082
2002-10-02,66468.108
2002-11-04,66444.666
2002-12-03,66437.792
2002-12-28,66452.521
2003-02-03,66457.506
2003-03-11,66450.859
2003-03-26,66449.158
2003-05-01,66451.736
2003-06-03,66456.543
2003-07-02,66447.38
2003-07-28,66444.898
2003-08-26,66446.804
2003-10-02,66449.285
2003-10-31,66452.841
2003-12-03,66456.374
2003-12-28,66446.243
2004-01-30,66443.957
2004-02-29,66446.935
2004-04-02,66440.477
2004-05-01,66433.984
2004-05-26,66443.822
2004-07-06,66442.073
2004-07-31,66437.894
2004-08-30,66433.596
2004-10-01,66440.076
2004-10-31,66437.369
2004-12-03,66444.08
2005-01-01,66448.623
2005-01-19,66439.966
2005-02-14,66440.265
2005-03-04,66440.526
2005-03-30,66447.215
2005-04-17,66447.392
2005-05-09,66447.589
2005-05-31,66452.04
2005-07-02,66443.075
2005-08-01,66430.657
2005-09-03,66424.349
2005-09-28,66426.561
2005-10-31,66431.348
2005-11-29,66427.562
2005-12-28,66441.633
2006-01-30,66436.786
2006-02-25,66433.8
2006-04-02,66428.161
2006-04-28,66433.576
2006-05-23,66443.822
2006-07-02,66441.939
2006-08-01,66437.787
2006-08-30,66412.024
2006-09-28,66416.612
2006-10-24,66394.235
2006-11-29,66386.544
2006-12-28,66406.34
2007-01-30,66433.699
2007-02-25,66443.957
2007-03-26,66446.378
2007-05-01,66434.496
2007-05-31,66417.981
2007-06-29,66421.819
2007-08-01,66444.094
2007-08-30,66447.866
2007-10-02,66441.535
2007-10-27,66439.854
2007-11-26,66435.504
2008-01-08,66441.8
2008-02-29,66442.096
2008-03-29,66447.602
2008-04-23,66443.777
2008-05-30,66453.673
2008-06-28,66450.424
2008-07-31,66434.447
2008-08-30,66446.428
2008-09-28,66441.596
2008-10-27,66450.313
2008-11-29,66450.469
2008-12-28,66458.121
2009-02-10,66455.453
2009-03-26,66449.382
2009-04-28,66447.252
2009-05-27,66442.248
2009-06-25,66446.468
2009-07-21,66445.01
2009-08-30,66442.544
2009-09-28,66444.338
2009-11-07,66446.692
2009-11-29,66468.355
2009-12-25,66458.686
2010-01-27,66453.988
2010-02-14,66458.41
2010-03-19,66458.462
2010-04-28,66455.211
2010-05-12,66454.251
2010-06-25,66442.858
2010-07-24,66438.396
2010-08-26,66440.302
2010-09-28,66449.662
2010-10-27,66433.878
2010-11-26,66440.681
2010-12-28,66445.909
2011-01-27,66443.217
2011-02-25,66453.121
2011-03-30,66444.45
2011-04-28,66449.772
2011-05-23,66452.409
2011-06-29,66462.039
2011-07-21,66450.727
2011-08-26,66443.998
2011-09-24,66450.615
2011-10-27,66427.907
2011-11-22,66450.727
2011-12-25,66444.329
2012-01-27,66434.484
2012-02-21,66449.046
2012-03-22,66447.364
2012-04-20,66448.485
2012-05-23,66449.943
2012-06-25,66456.264
2012-07-24,66471.139
2012-08-19,66443.777
2012-09-24,66454.54
2012-10-16,66441.984
2012-11-25,66451.692
2012-12-25,66462.974
2013-01-12,66459.92
2013-02-25,66451.064
2013-03-19,66459.695
2013-04-20,66459.695
2013-05-20,66456.557
2013-06-29,66457.678
2013-07-24,66465.874
2013-08-26,66452.384
2013-09-24,66457.116
2013-10-24,66453.141
2013-11-11,66463.507
2013-12-17,66462.61
2014-01-23,66460.704
2014-03-30,66460.816
2014-04-17,66465.637
2014-05-12,66464.74
2014-06-18,66464.565
2014-07-24,66475.368
2014-08-26,66464.628
2014-09-24,66460.851
2014-10-24,66454.826
2014-11-22,66458.462
2014-12-21,66459.937
2015-01-19,66461.825
2015-02-17,66464.964
2015-03-22,66462.498
2015-04-17,66458.126
2015-06-25,66457.341
2015-07-24,66465.423
2015-08-30,66457.005
2015-09-24,66460.68
2015-10-16,66458.112
2015-11-22,66459.695
2015-12-25,66466.272
2016-01-19,66462.581
2016-02-10,66455.211
2016-03-29,66456.893
2016-04-16,66465.637
2016-05-19,66467.318
2016-06-25,66457.565
2016-07-24,66455.772
2016-08-26,66457.341
2016-09-17,66457.341
2016-10-23,66453.515
2016-11-14,66454.539
2016-12-06,66456.67
2017-01-23,66464.336
2017-03-08,66460.056
2017-04-20,66457.353
2017-05-23,66463.743
2017-06-22,66468.637
2017-07-24,66448.487
2017-08-23,66458.028
2017-09-14,66467.206
2017-10-24,66463.208
2017-11-15,66466.758
2017-12-10,66470.009
2018-01-19,66469.478
2018-02-21,66469.448
2018-03-15,66463.17
2018-04-20,66464.628
2018-05-20,66466.085
2018-06-22,66456.645
2018-07-21,66459.92
2018-08-15,66459.583
2018-09-21,66464.471
2018-10-20,66453.081
2018-11-15,66454.315
2019-01-19,66447.586
2019-02-21,66451.859
2019-03-22,66463.192
2019-04-20,66471.408
2019-05-12,66464.291
2019-06-18,66464.179
2019-07-17,66471.354
2019-08-19,66475.04
2019-09-17,66471.69
2019-10-13,66467.318
2019-11-18,66472.587
2019-12-17,66467.206
2020-01-16,66472.138
2020-02-18,66475.389
2020-03-22,66474.044
2020-04-20,66484.047
2020-05-19,66469.691
2020-06-21,66479.393
2020-07-17,66473.828
2020-08-15,66476.735
2020-09-28,66474.549
2020-10-12,66472.811
2020-11-18,66474.38
