date,lake_level,lake_extent_km2,water_depth,volume_km3
1948-01-01,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-01-02,1134.534,66841.86246694704,1134.534,75834.36559207531
1948-01-03,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-01-04,1134.484,66841.61448016053,1134.484,75830.74216191043
1948-01-05,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-06,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-07,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-08,1134.544,66842.11045373358,1134.544,75835.3153626207
1948-01-09,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-01-10,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-01-11,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-01-12,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-01-13,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-01-14,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-01-15,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-01-16,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-01-17,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-01-18,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-19,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-01-20,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-01-21,1134.504,66841.86246694704,1134.504,75832.36033620128
1948-01-22,1134.564,66842.11045373358,1134.564,75836.65220482978
1948-01-23,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-01-24,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-01-25,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-01-26,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-27,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-28,1134.504,66841.86246694704,1134.504,75832.36033620128
1948-01-29,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-30,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-01-31,1134.524,66841.86246694704,1134.524,75833.69717345062
1948-02-01,1134.484,66841.61448016053,1134.484,75830.74216191043
1948-02-02,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-02-03,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-02-04,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-02-05,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-02-06,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-02-07,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-02-08,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-02-09,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-02-10,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-02-11,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-02-12,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-02-13,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-02-14,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-02-15,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-02-16,1134.499,66841.61448016053,1134.499,75831.74478612765
