date,lake_level,lake_extent_km2
1948-01-01,1134.529,66841.86246694704
1948-01-02,1134.534,66841.86246694704
1948-01-03,1134.494,66841.61448016053
1948-01-04,1134.484,66841.61448016053
1948-01-05,1134.509,66841.86246694704
1948-01-06,1134.509,66841.86246694704
1948-01-07,1134.509,66841.86246694704
1948-01-08,1134.544,66842.11045373358
1948-01-09,1134.549,66842.11045373358
1948-01-10,1134.519,66841.86246694704
1948-01-11,1134.549,66842.11045373358
1948-01-12,1134.549,66842.11045373358
1948-01-13,1134.529,66841.86246694704
1948-01-14,1134.529,66841.86246694704
1948-01-15,1134.529,66841.86246694704
1948-01-16,1134.499,66841.61448016053
1948-01-17,1134.499,66841.61448016053
1948-01-18,1134.509,66841.86246694704
1948-01-19,1134.499,66841.61448016053
1948-01-20,1134.499,66841.61448016053
1948-01-21,1134.504,66841.86246694704
1948-01-22,1134.564,66842.11045373358
1948-01-23,1134.479,66841.61448016053
1948-01-24,1134.519,66841.86246694704
1948-01-25,1134.589,66842.3584405201
1948-01-26,1134.509,66841.86246694704
1948-01-27,1134.509,66841.86246694704
1948-01-28,1134.504,66841.86246694704
1948-01-29,1134.509,66841.86246694704
1948-01-30,1134.509,66841.86246694704
1948-01-31,1134.524,66841.86246694704
1948-02-01,1134.484,66841.61448016053
1948-02-02,1134.489,66841.61448016053
1948-02-03,1134.499,66841.61448016053
1948-02-04,1134.539,66842.11045373358
1948-02-05,1134.489,66841.61448016053
1948-02-06,1134.509,66841.86246694704
1948-02-07,1134.509,66841.86246694704
1948-02-08,1134.509,66841.86246694704
1948-02-09,1134.509,66841.86246694704
1948-02-10,1134.509,66841.86246694704
1948-02-11,1134.489,66841.61448016053
1948-02-12,1134.489,66841.61448016053
1948-02-13,1134.489,66841.61448016053
1948-02-14,1134.494,66841.61448016053
1948-02-15,1134.489,66841.61448016053
1948-02-16,1134.499,66841.61448016053
1948-02-17,1134.499,66841.61448016053
1948-02-18,1134.499,66841.61448016053
1948-02-19,1134.449,66841.61448016053
1948-02-20,1134.449,66841.61448016053
1948-02-21,1134.484,66841.61448016053
1948-02-22,1134.529,66841.86246694704
1948-02-23,1134.529,66841.86246694704
1948-02-24,1134.529,66841.86246694704
1948-02-25,1134.479,66841.61448016053
1948-02-26,1134.459,66841.61448016053
1948-02-27,1134.504,66841.86246694704
1948-02-28,1134.549,66842.11045373358
1948-02-29,1134.549,66842.11045373358
1948-03-01,1134.489,66841.61448016053
1948-03-02,1134.489,66841.61448016053
1948-03-03,1134.419,66841.61448016053
1948-03-04,1134.419,66841.61448016053
1948-03-05,1134.469,66841.61448016053
1948-03-06,1134.469,66841.61448016053
1948-03-07,1134.534,66841.86246694704
1948-03-08,1134.529,66841.86246694704
1948-03-09,1134.539,66842.11045373358
1948-03-10,1134.529,66841.86246694704
1948-03-11,1134.489,66841.61448016053
1948-03-12,1134.494,66841.61448016053
1948-03-13,1134.509,66841.86246694704
1948-03-14,1134.519,66841.86246694704
1948-03-15,1134.519,66841.86246694704
1948-03-16,1134.539,66842.11045373358
1948-03-17,1134.539,66842.11045373358
1948-03-18,1134.549,66842.11045373358
1948-03-19,1134.519,66841.86246694704
1948-03-20,1134.519,66841.86246694704
1948-03-21,1134.519,66841.86246694704
1948-03-22,1134.529,66841.86246694704
1948-03-23,1134.539,66842.11045373358
1948-03-24,1134.539,66842.11045373358
1948-03-25,1134.539,66842.11045373358
1948-03-26,1134.539,66842.11045373358
1948-03-27,1134.539,66842.11045373358
1948-03-28,1134.544,66842.11045373358
1948-03-29,1134.539,66842.11045373358
1948-03-30,1134.534,66841.86246694704
1948-03-31,1134.529,66841.86246694704
1948-04-01,1134.519,66841.86246694704
1948-04-02,1134.519,66841.86246694704
1948-04-03,1134.519,66841.86246694704
1948-04-04,1134.479,66841.61448016053
1948-04-05,1134.469,66841.61448016053
1948-04-06,1134.539,66842.11045373358
1948-04-07,1134.519,66841.86246694704
1948-04-08,1134.519,66841.86246694704
1948-04-09,1134.489,66841.61448016053
1948-04-10,1134.489,66841.61448016053
1948-04-11,1134.499,66841.61448016053
1948-04-12,1134.499,66841.61448016053
1948-04-13,1134.489,66841.61448016053
1948-04-14,1134.494,66841.61448016053
1948-04-15,1134.494,66841.61448016053
1948-04-16,1134.494,66841.61448016053
1948-04-17,1134.494,66841.61448016053
1948-04-18,1134.559,66842.11045373358
1948-04-19,1134.519,66841.86246694704
1948-04-20,1134.519,66841.86246694704
1948-04-21,1134.519,66841.86246694704
1948-04-22,1134.519,66841.86246694704
1948-04-23,1134.524,66841.86246694704
1948-04-24,1134.529,66841.86246694704
1948-04-25,1134.524,66841.86246694704
1948-04-26,1134.529,66841.86246694704
1948-04-27,1134.589,66842.3584405201
1948-04-28,1134.579,66842.3584405201
1948-04-29,1134.649,66843.10240087968
1948-04-30,1134.559,66842.11045373358
1948-05-01,1134.559,66842.11045373358
1948-05-02,1134.559,66842.11045373358
1948-05-03,1134.619,66842.3584405201
1948-05-04,1134.599,66842.3584405201
1948-05-05,1134.599,66842.3584405201
1948-05-06,1134.599,66842.3584405201
1948-05-07,1134.619,66842.3584405201
1948-05-08,1134.659,66843.59837445273
1948-05-09,1134.679,66844.59032159885
1948-05-10,1134.649,66843.10240087968
1948-05-11,1134.609,66842.3584405201
1948-05-12,1134.609,66842.3584405201
1948-05-13,1134.639,66842.85441409315
1948-05-14,1134.639,66842.85441409315
1948-05-15,1134.639,66842.85441409315
1948-05-16,1134.639,66842.85441409315
1948-05-17,1134.619,66842.3584405201
1948-05-18,1134.659,66843.59837445273
1948-05-19,1134.659,66843.59837445273
1948-05-20,1134.659,66843.59837445273
1948-05-21,1134.679,66844.59032159885
1948-05-22,1134.679,66844.59032159885
1948-05-23,1134.679,66844.59032159885
1948-05-24,1134.679,66844.59032159885
1948-05-25,1134.679,66844.59032159885
1948-05-26,1134.679,66844.59032159885
1948-05-27,1134.599,66842.3584405201
1948-05-28,1134.599,66842.3584405201
1948-05-29,1134.599,66842.3584405201
1948-05-30,1134.634,66842.60642730663
1948-05-31,1134.639,66842.85441409315
1948-06-01,1134.634,66842.60642730663
1948-06-02,1134.669,66843.59837445273
1948-06-03,1134.659,66843.59837445273
1948-06-04,1134.659,66843.59837445273
1948-06-05,1134.659,66843.59837445273
1948-06-06,1134.654,66843.3503876662
1948-06-07,1134.659,66843.59837445273
1948-06-08,1134.584,66842.3584405201
1948-06-09,1134.589,66842.3584405201
1948-06-10,1134.639,66842.85441409315
1948-06-11,1134.689,66844.59032159885
1948-06-12,1134.689,66844.59032159885
1948-06-13,1134.669,66843.59837445273
1948-06-14,1134.659,66843.59837445273
1948-06-15,1134.659,66843.59837445273
1948-06-16,1134.659,66843.59837445273
1948-06-17,1134.659,66843.59837445273
1948-06-18,1134.659,66843.59837445273
1948-06-19,1134.659,66843.59837445273
1948-06-20,1134.659,66843.59837445273
